word,rank,cefr,pos,ipa,meaning_vi,example_en,is_concrete_noun,orig_rank,sfi,freq_per_million
plan,142,A1,n,/plˈæn/,kế hoạch,Do you have any plans tonight?,FALSE,232,66.28,425
result,143,A1,n,/ɹɪzˈʌlt/,kết quả,The test results are good.,FALSE,233,66.27,424
example,144,A1,n,/ɪɡzˈæmpəl/,ví dụ,"Give me an example, please.",FALSE,235,66.24,420
happen,145,A1,v,/hˈæpən/,xảy ra,What happened yesterday?,FALSE,236,66.23,420
offer,146,A1,v,/ˈɔfɚ/,đề nghị; mời; cung cấp,They offered me a job.,FALSE,237,66.21,418
young,147,A1,adj,/jˈʌŋ/,trẻ; nhỏ tuổi,She is still very young.,FALSE,238,66.2,417
close,148,A1,v,/klˈoʊs/,đóng; gần,"Close the door, please.",FALSE,239,66.19,416
program,149,A1,n,/pɹˈoʊɡɹˌæm/,chương trình,I watched a TV program.,FALSE,240,66.17,414
lead,150,A1,v,/lˈɛd/,dẫn dắt; dẫn đến,She leads a big team.,FALSE,241,66.13,410
buy,151,A1,v,/bˈaɪ/,mua,I want to buy a new laptop.,FALSE,242,66.07,405
understand,152,A1,v,/ˌʌndɚstˈænd/,hiểu,I understand your problem.,FALSE,243,66.05,403
thank,153,A1,v,/θˈæŋk/,cảm ơn,I want to thank you all.,FALSE,244,66.01,399
far,154,A1,adv,/fˈɑɹ/,xa,Is the station far from here?,FALSE,245,66,398
today,155,A1,adv,/tədˈeɪ/,hôm nay,Today is my birthday.,FALSE,246,65.94,392
hour,156,A1,n,/ˈaʊɚ/,"giờ, tiếng",The trip takes two hours.,FALSE,247,65.93,391
student,157,A1,n,/stˈudənt/,"học sinh, sinh viên",She is a hard-working student.,FALSE,248,65.92,391
face,158,A1,n,/fˈeɪs/,khuôn mặt,He has a friendly face.,TRUE,249,65.91,390
hope,159,A1,v,/hˈoʊp/,hy vọng,I hope you feel better soon.,FALSE,250,65.89,388
idea,160,A1,n,/aɪdˈiə/,ý tưởng; ý kiến,I have a good idea.,FALSE,251,65.87,387
cost,161,A1,n,/kˈɑst/,"chi phí, giá",The cost of living is rising.,FALSE,252,65.86,386
room,162,A1,n,/ɹˈum/,căn phòng,My room is on the second floor.,TRUE,254,65.85,385
reason,163,A1,n,/ɹˈizən/,lý do,Give me one good reason.,FALSE,256,65.83,383
form,164,A1,n,/fˈɔɹm/,hình thức; mẫu đơn,Please fill in this form.,TRUE,257,65.79,379
spend,165,A1,v,/spˈɛnd/,tiêu (tiền); dành (thời gian),I spend an hour reading daily.,FALSE,258,65.78,378
head,166,A1,n,/hˈɛd/,cái đầu; người đứng đầu,She turned her head slowly.,TRUE,259,65.77,378
car,167,A1,n,/kˈɑɹ/,"xe hơi, ô tô",He drives an old car.,TRUE,260,65.77,377
learn,168,A1,v,/lˈɝn/,học; học được,I want to learn Japanese.,FALSE,261,65.74,375
level,169,A1,n,/lˈɛvəl/,cấp độ; mức,She is at an advanced level.,FALSE,262,65.71,373
person,170,A1,n,/pˈɝsən/,người,He is a very kind person.,FALSE,263,65.66,368
experience,171,A1,n,/ɪkspˈɪɹiəns/,kinh nghiệm; trải nghiệm,She has years of experience.,FALSE,264,65.63,365
once,172,A1,adv,/wˈʌns/,một lần; đã từng,I visit them once a month.,FALSE,265,65.62,365
member,173,A1,n,/mˈɛmbɚ/,thành viên,He is a member of the club.,FALSE,266,65.61,364
bad,174,A1,adj,/bˈæd/,xấu; tệ,The weather is bad today.,FALSE,268,65.59,363
city,175,A1,n,/sˈɪti/,thành phố,Tokyo is a huge city.,TRUE,269,65.59,362
night,176,A1,n,/nˈaɪt/,"ban đêm, buổi tối",I sleep eight hours a night.,FALSE,270,65.58,361
able,177,A1,adj,/ˈeɪbəl/,"có khả năng, có thể",She is able to speak French.,FALSE,271,65.57,361
support,178,A1,v,/səpˈɔɹt/,ủng hộ; hỗ trợ,My parents support my decision.,FALSE,272,65.55,359
line,179,A1,n,/lˈaɪn/,đường; hàng; dòng,Draw a straight line here.,FALSE,274,65.54,358
present,180,A1,n,/pɹˈɛzənt/,món quà; hiện tại (adj),She gave me a nice present.,FALSE,275,65.54,358
side,181,A1,n,/sˈaɪd/,phía; bên; mặt,Sit on this side of the table.,FALSE,276,65.51,356
quite,182,A1,adv,/kwˈaɪt/,khá; hoàn toàn,The film was quite good.,FALSE,277,65.5,354
sure,183,A1,adj,/ʃˈʊɹ/,chắc chắn,Are you sure about this?,FALSE,279,65.45,351
term,184,A1,n,/tˈɝm/,thuật ngữ; kỳ hạn; học kỳ,This is a technical term.,FALSE,280,65.44,350
age,185,A1,n,/ˈeɪdʒ/,tuổi; thời đại,What is your age?,FALSE,282,65.43,349
low,186,A1,adj,/lˈoʊ/,thấp,The prices are very low.,FALSE,283,65.43,349
speak,187,A1,v,/spˈik/,nói; nói chuyện,Can you speak English?,FALSE,284,65.42,348
process,188,A1,n,/pɹˈɑsˌɛs/,quá trình; quy trình,Learning is a slow process.,FALSE,286,65.4,346
public,189,A1,adj,/pˈʌblɪk/,công cộng; công khai,This is a public library.,FALSE,287,65.35,343
often,190,A1,adv,/ˈɔfən/,thường xuyên,I often go swimming.,FALSE,288,65.33,341
train,191,A1,n,/tɹˈeɪn/,tàu hỏa,I take the train to work.,TRUE,289,65.29,338
possible,192,A1,adj,/pˈɑsəbəl/,có thể; khả thi,Is it possible to change the date?,FALSE,290,65.28,337
actually,193,A1,adv,/ˈæktʃˌuəli/,thật ra; thực sự,"Actually, I disagree with you.",FALSE,291,65.28,337
rather,194,A1,adv,/ɹˈæðɚ/,khá; thà... hơn,It's rather cold today.,FALSE,292,65.27,336
view,195,A1,n,/vjˈu/,quang cảnh; quan điểm,The room has a great view.,FALSE,293,65.26,336
together,196,A1,adv,/təɡˈɛðɚ/,cùng nhau,We studied together last night.,FALSE,294,65.24,334
consider,197,A1,v,/kənsˈɪdɚ/,cân nhắc; xem xét,Please consider my offer.,FALSE,295,65.24,334
price,198,A1,n,/pɹˈaɪs/,giá,The price is too high.,FALSE,296,65.14,327
parent,199,A1,n,/pˈɛɹənt/,cha/mẹ (số nhiều: cha mẹ),My parents are very kind.,FALSE,297,65.14,326
hard,200,A1,adj,/hˈɑɹd/,khó; cứng; chăm chỉ,This exercise is hard.,FALSE,298,65.12,325
party,201,A1,n,/pˈɑɹti/,bữa tiệc; đảng phái,We had a birthday party.,FALSE,299,65.08,322
local,202,A1,adj,/lˈoʊkəl/,địa phương,I shop at the local market.,FALSE,300,65.06,321
control,203,A1,v,/kəntɹˈoʊl/,kiểm soát; điều khiển,He can't control his anger.,FALSE,301,65.05,320
already,204,A1,adv,/ɔlɹˈɛdi/,"đã, rồi",I have already finished lunch.,FALSE,302,65.02,318
concern,205,A1,n,/kənsˈɝn/,sự lo lắng; mối quan tâm,Safety is our main concern.,FALSE,303,65.02,317
product,206,A1,n,/pɹˈɑdəkt/,sản phẩm,This product is very popular.,FALSE,304,65.01,317
lose,207,A1,v,/lˈuz/,mất; thua,Don't lose your ticket.,FALSE,305,65,316
story,208,A1,n,/stˈɔɹi/,câu chuyện; tầng (nhà),She told the children a story.,FALSE,306,64.98,315
almost,209,A1,adv,/ˈɔlmˌoʊst/,"gần như, hầu như",I am almost finished.,FALSE,307,64.98,315
continue,210,A1,v,/kəntˈɪnju/,tiếp tục,Please continue with your work.,FALSE,308,64.96,314
stand,211,A1,v,/stˈænd/,đứng; chịu đựng,Please stand up when he enters.,FALSE,309,64.95,313
whole,212,A1,adj,/hˈoʊl/,"toàn bộ, cả",I read the whole book.,FALSE,310,64.95,313
rate,213,A1,n,/ɹˈeɪt/,tỷ lệ; tốc độ; mức giá,The success rate is high.,FALSE,312,64.94,312
care,214,A1,v,/kˈɛɹ/,quan tâm; chăm sóc,She cares about her students.,FALSE,313,64.93,311
expect,215,A1,v,/ɪkspˈɛkt/,mong đợi; dự kiến,I expect good results.,FALSE,314,64.93,311
effect,216,A1,n,/ɪfˈɛkt/,"tác động, ảnh hưởng",The medicine has a strong effect.,FALSE,315,64.93,311
sort,217,A1,n,/sˈɔɹt/,"loại, kiểu",What sort of car is that?,FALSE,316,64.92,311
cause,218,A1,v,/kˈɑz/,gây ra,Smoking causes many diseases.,FALSE,319,64.9,309
fall,219,A1,v,/fˈɔl/,"rơi, ngã; giảm",Leaves fall in autumn.,FALSE,320,64.89,309
deal,220,A1,n,/dˈil/,thỏa thuận; giao dịch,They made a good deal.,FALSE,321,64.89,309
water,221,A1,n,/wˈɔtɚ/,nước,Please drink more water.,TRUE,322,64.87,307
send,222,A1,v,/sˈɛnd/,gửi,I will send you an email.,FALSE,323,64.86,306
allow,223,A1,v,/əlˈaʊ/,cho phép,Smoking is not allowed here.,FALSE,324,64.84,305
soon,224,A1,adv,/sˈun/,"sớm, chẳng bao lâu",I will call you soon.,FALSE,325,64.84,304
watch,225,A1,v,/wˈɑtʃ/,xem; theo dõi,We watched a movie last night.,FALSE,326,64.8,302
base,226,A1,v,/bˈeɪs/,dựa vào; đặt cơ sở,The film is based on a true story.,FALSE,327,64.78,300
probably,227,A1,adv,/pɹˈɑbəblˌi/,có lẽ,It will probably rain later.,FALSE,328,64.75,299
suggest,228,A1,v,/sədʒˈɛst/,"đề nghị, gợi ý",I suggest we start early.,FALSE,329,64.74,298
past,229,A1,n,/pˈæst/,quá khứ,We should learn from the past.,FALSE,330,64.73,297
power,230,A1,n,/pˈaʊɚ/,"quyền lực; năng lượng, điện",The storm cut off the power.,FALSE,331,64.72,296
test,231,A1,n,/tˈɛst/,bài kiểm tra; thử nghiệm,I have an English test tomorrow.,FALSE,332,64.71,296
visit,232,A1,v,/vˈɪzɪt/,thăm; ghé thăm,We visited our grandparents.,FALSE,333,64.7,295
center,233,A1,n,/sˈɛntɚ/,trung tâm,The shop is in the city center.,FALSE,334,64.7,295
grow,234,A1,v,/ɡɹˈoʊ/,lớn lên; trồng; tăng,Children grow up so fast.,FALSE,335,64.69,294
return,235,A1,v,/ɹɪtˈɝn/,trở lại; trả lại,Please return the book on time.,FALSE,337,64.68,294
mother,236,A1,n,/mˈʌðɚ/,mẹ,My mother cooks very well.,FALSE,338,64.67,293
walk,237,A1,v,/wˈɔk/,đi bộ,I walk to school every day.,FALSE,339,64.63,291
matter,238,A1,n,/mˈætɚ/,vấn đề; chuyện,What's the matter with you?,FALSE,340,64.63,290
mind,239,A1,n,/mˈaɪnd/,"tâm trí, trí óc",Keep an open mind.,FALSE,341,64.62,290
value,240,A1,n,/vˈælju/,giá trị,This ring has great value.,FALSE,342,64.61,289
office,241,A1,n,/ˈɔfɪs/,văn phòng,She works in a busy office.,TRUE,343,64.59,288
record,242,A1,n,/ɹəkˈɔɹd/,kỷ lục; bản ghi,He set a new world record.,FALSE,344,64.59,287
stay,243,A1,v,/stˈeɪ/,ở lại; lưu lại,Please stay a little longer.,FALSE,345,64.57,286
force,244,A1,n,/fˈɔɹs/,lực; sức mạnh; lực lượng,The wind blew with great force.,FALSE,346,64.57,286
stop,245,A1,v,/stˈɑp/,dừng lại; ngừng,The bus stopped suddenly.,FALSE,347,64.55,285
light,246,A1,n,/lˈaɪt/,ánh sáng; đèn,"Turn on the light, please.",TRUE,349,64.53,284
develop,247,A1,v,/dɪvˈɛləp/,phát triển,The company develops software.,FALSE,350,64.51,282
remember,248,A1,v,/ɹɪmˈɛmbɚ/,"nhớ, ghi nhớ",I can't remember his name.,FALSE,351,64.5,282
bit,249,A1,n,/bˈɪt/,"một chút, một ít",I am a bit tired.,FALSE,352,64.49,281
share,250,A1,v,/ʃˈɛɹ/,chia sẻ; chia,Let's share the pizza.,FALSE,353,64.48,281
real,251,A1,adj,/ɹˈil/,"thật, có thật",Is this a real diamond?,FALSE,354,64.47,280
answer,252,A1,n,/ˈænsɚ/,câu trả lời,I don't know the answer.,FALSE,355,64.46,279
sit,253,A1,v,/sˈɪt/,ngồi,Please sit down here.,FALSE,356,64.44,278
figure,254,A1,n,/fˈɪɡjɚ/,con số; hình dáng; nhân vật,The sales figures are rising.,FALSE,357,64.43,278
letter,255,A1,n,/lˈɛtɚ/,lá thư; chữ cái,I wrote a letter to my friend.,TRUE,358,64.43,277
decide,256,A1,v,/dˌɪsˈaɪd/,quyết định,We decided to go by train.,FALSE,359,64.41,276
language,257,A1,n,/lˈæŋɡwədʒ/,ngôn ngữ,English is a global language.,FALSE,360,64.39,275
subject,258,A1,n,/səbdʒˈɛkt/,môn học; chủ đề,Math is my favorite subject.,FALSE,361,64.35,273
class,259,A1,n,/klˈæs/,lớp học; hạng,Our class has thirty students.,FALSE,362,64.35,272
development,260,A1,n,/dɪvˈɛləpmənt/,sự phát triển,The city's development is fast.,FALSE,363,64.31,270
town,261,A1,n,/tˈaʊn/,thị trấn,I grew up in a small town.,TRUE,364,64.31,269
half,262,A1,n,/hˈæf/,một nửa,Half of the class is absent.,FALSE,365,64.29,269
minute,263,A1,n,/mˈɪnət/,phút,"Wait five minutes, please.",FALSE,366,64.28,268
food,264,A1,n,/fˈud/,"thức ăn, đồ ăn",Vietnamese food is delicious.,TRUE,367,64.28,268
break,265,A1,v,/bɹˈeɪk/,làm vỡ; nghỉ giải lao,Don't break the glass.,FALSE,368,64.28,268
